لجان القيد,,قلم الأقتراع,عدد المقترعين,عدد الأوراق الباطلة,عدد الأوراق البيضاء,العدد المعول عليه مع الأوراق البيضاء,(1) الشراكة والارادة,,,,,,,,,(2) صوتك ثورة,,,,,,,,(3) لائحة الجبل,,,,,,,,(4) قادرين,,,,,(5) توحدنا للتغيير,,,,,,,,(6) سيادة وطن,,,,,,,(7) الجبل ينتفض,,,,
,,,,,,,فادي فارس المعلوف,ايلي مخايل قرداحي,حبوبه يوسف عون,سعد الدين وسيم الخطيب,بلال احمد عبد الله,مروان محمد حماده,جورج جميل عدوان,تيمور وليد جنبلاط,مجموع الأصوات,معضاد حسن ابو علي,ميشال خليل ابو سليمان,جمال انطوان مرهج,جهاد نبيل ذبيان,كابي الياس القزي,سمير حسن عاكوم,محمد سامي الحجار,مجموع الأصوات,انطوان بشاره عبود,اسامه محمد المعوش,احمد حلمي نجم الدين,فريد جورج فيليب البستاني,غسان امال عطا الله,وئام ماهر نجيب وهاب,ناجي نبيه البستاني,مجموع الأصوات,عماد محمد الفران,خالد ابراهيم سعد,ايمن غازي زين الدين,جوزف اسعد طعمه,مجموع الأصوات,شكري يوسف حداد,عماد وفيق سيف الدين,حليمه ابراهيم القعقور,صعود كريم ابو شبل,رانيه عادل غيث,نجاة خطار عون,غاده غازي ماروني عيد,مجموع الأصوات,جورج ادوار سلوان,هشام عزات ذبيان,مأمون احمد المأمون ملك,جويس جوزف مارون,محمد عمار ابراهيم الشمعه,دعد ناصيف القزي,مجموع الأصوات,اكرم علي بريش,عبد الله يوسف ابو عبد الله,نبيل خليل مشنتف,زينه شوقي منصور,مجموع الأصوات
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,24,شحيم حي السهله - مدرسة كوليج يونفرسال - غرفة رقم 1,330,15,3,315,0,1,0,19,33,6,2,0,64,0,1,0,0,0,0,146,148,0,0,12,3,4,14,0,33,0,0,0,0,0,0,0,10,0,0,3,1,14,0,0,1,0,51,1,53,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,25,شحيم حي السهله - مدرسة كوليج يونفرسال - غرفة رقم 2,350,12,0,338,0,0,0,4,45,33,3,0,85,0,0,0,0,0,0,119,122,0,0,6,3,0,9,0,20,1,1,0,0,2,1,2,14,1,0,5,0,25,0,0,0,1,83,0,84,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,26,شحيم حي السهله - مدرسة كوليج يونفرسال - غرفة رقم 3,419,10,3,409,0,2,0,10,50,10,0,2,74,0,0,0,0,0,2,147,152,0,0,13,6,5,14,0,39,0,1,0,0,3,0,3,22,0,0,9,0,35,0,0,0,0,102,0,102,0,1,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,27,شحيم حي السهله - مدرسة كوليج يونفرسال - غرفة رقم 4,406,9,4,397,0,0,0,2,40,16,1,1,65,0,0,0,0,0,1,136,137,0,0,14,3,0,10,1,30,0,1,1,0,3,0,3,20,2,0,7,4,36,0,0,1,0,121,0,122,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,28,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 3,321,8,2,313,0,0,0,6,162,2,0,0,170,0,0,0,0,0,0,11,11,0,0,42,2,1,21,4,71,0,2,0,1,3,0,1,12,0,0,0,3,16,0,0,0,0,37,3,40,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,29,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 4,301,11,4,290,0,7,0,3,160,2,1,0,174,0,0,1,0,0,0,6,8,0,4,10,0,0,11,1,26,0,1,0,0,1,0,3,17,0,0,3,2,26,0,0,0,0,45,5,51,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,30,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 5,303,9,0,294,0,0,0,3,171,0,1,1,178,0,0,0,0,0,0,10,10,0,1,21,5,0,23,1,51,0,0,0,0,0,0,0,13,0,0,5,1,19,0,0,0,0,36,0,36,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,31,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 6,298,7,1,291,0,1,0,4,158,1,1,0,165,0,0,0,0,0,0,13,13,0,0,33,6,0,27,0,68,1,1,0,0,2,0,0,6,1,0,1,0,8,0,0,3,0,27,1,32,0,2,0,0,2
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,32,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 7,393,10,5,383,0,2,0,5,183,1,0,0,195,0,0,0,0,0,0,17,17,0,0,59,3,1,17,2,82,0,2,0,0,2,0,5,25,0,0,1,1,34,0,0,0,0,42,4,48,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,33,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 8,377,13,2,364,0,3,0,5,166,0,0,1,175,0,1,0,0,0,0,14,15,0,3,13,2,0,16,1,36,0,3,0,0,3,0,3,36,0,0,6,0,46,0,0,1,1,77,8,87,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,34,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 9,439,8,1,431,0,1,0,1,216,1,1,1,221,0,0,0,0,0,0,31,31,0,2,38,12,0,24,0,78,0,2,0,0,2,0,2,20,0,0,4,1,27,0,0,0,0,69,0,70,1,0,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,35,شحيم حي الشريفة - معهد شحيم الفني - غرفة رقم 10,369,16,8,353,0,0,0,5,134,4,1,0,147,0,0,0,0,0,0,17,17,0,1,35,7,0,39,2,85,0,2,0,0,2,0,3,13,3,0,5,2,28,0,0,2,0,59,0,62,0,4,0,0,4
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,36,شحيم حي الوسطاني - مجمع مدارس جبل سويد - غرفة رقم 8,325,4,3,321,0,0,1,6,156,2,0,0,165,0,0,0,0,0,0,16,17,0,1,15,5,0,20,0,42,0,1,0,0,1,0,2,13,0,0,3,3,21,0,0,0,0,72,0,72,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,37,شحيم حي الوسطاني - مجمع مدارس جبل سويد - غرفة رقم 9,406,17,4,389,0,0,1,8,151,2,2,1,168,0,0,0,0,0,1,16,17,0,2,15,5,2,35,2,62,0,1,0,0,1,1,5,25,0,0,6,1,38,0,0,0,0,97,1,99,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,38,شحيم حي شحرور - مدرسة شحيم الرسمية الثانية – حي بلاط - غرفة رقم 1,263,12,2,251,1,1,0,3,83,8,2,1,99,0,0,0,0,0,0,28,28,0,0,11,4,0,19,2,36,0,0,0,0,0,1,1,16,0,0,5,1,25,0,0,0,0,60,1,61,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,39,شحيم حي شحرور - مدرسة شحيم الرسمية الثانية – حي بلاط - غرفة رقم 2,286,8,4,278,7,0,0,2,54,5,1,1,71,0,0,0,0,0,0,32,32,0,2,8,11,2,32,0,58,0,0,0,0,2,0,1,21,0,0,4,1,27,0,0,0,0,83,1,84,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,40,شحيم حي شحرور - مدرسة شحيم الرسمية الثانية – حي بلاط - غرفة رقم 3,336,8,7,328,1,2,0,2,96,6,1,1,111,0,0,0,0,0,0,26,26,0,1,14,5,1,25,1,47,0,1,0,0,1,1,2,21,0,0,5,3,33,0,0,3,0,98,2,103,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,41,شحيم حي شحرور - مدرسة شحيم الرسمية الثانية – حي بلاط - غرفة رقم 4,315,12,8,303,1,1,0,3,70,1,0,1,78,0,0,0,0,0,1,39,40,0,0,10,13,1,22,1,47,0,2,0,0,3,0,2,20,0,0,4,2,30,0,0,1,0,95,0,96,0,0,0,1,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,42,شوريت - مبنى كنيسة شوريت - غرفة رقم 1,156,3,1,153,8,0,0,7,0,0,38,25,78,0,0,0,0,0,0,0,0,7,0,0,3,28,6,13,57,0,1,0,1,2,2,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,1,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,43,عانوت - المدرسة الرسمية - غرفة رقم 1,278,7,5,271,0,1,0,19,91,7,0,2,122,0,1,0,0,0,1,4,6,0,0,3,7,0,34,2,46,0,1,1,0,2,4,2,44,0,0,9,2,61,0,1,1,0,22,2,26,0,2,0,0,3
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,44,عانوت - المدرسة الرسمية - غرفة رقم 2,257,10,4,247,1,0,0,14,103,2,0,0,123,0,0,1,0,0,0,3,4,0,1,7,2,0,8,2,21,0,0,0,0,0,0,8,40,0,1,6,2,60,0,0,0,0,31,0,33,0,2,0,0,2
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,45,عانوت - المدرسة الرسمية - غرفة رقم 3,296,5,3,291,0,0,0,18,88,4,2,0,113,0,0,2,0,0,0,8,12,0,0,3,7,0,30,1,42,0,2,0,0,2,0,4,52,0,0,19,0,77,0,2,0,0,36,0,39,0,3,0,0,3
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,46,عانوت - المدرسة الرسمية - غرفة رقم 4,263,4,3,259,0,0,0,21,80,4,2,0,108,0,1,0,0,0,1,4,6,0,1,7,4,0,12,2,29,0,1,0,0,2,2,4,46,0,0,14,3,71,0,1,0,1,38,0,40,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,47,عانوت - المدرسة الرسمية - غرفة رقم 5,295,3,4,292,1,0,0,8,97,2,2,2,114,0,0,0,0,0,4,12,17,0,1,16,1,0,16,6,42,0,0,0,0,0,1,1,53,0,0,10,3,70,0,0,3,0,40,0,44,0,1,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,48,علمان - صالون كنيسة مار يوحنا - غرفة رقم 1,321,3,1,318,8,10,0,0,1,0,122,0,144,0,0,0,0,0,0,1,1,0,0,0,8,70,13,19,110,0,0,0,0,0,0,0,1,9,0,41,7,58,0,0,0,0,0,4,4,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,49,علمان - صالون كنيسة مار يوحنا - غرفة رقم 2,350,14,2,336,5,8,0,0,1,0,105,0,121,0,1,0,0,0,0,0,1,0,1,0,11,60,13,22,108,0,0,0,0,0,1,0,7,13,0,71,7,101,0,0,0,0,0,3,3,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,50,عماطور - المدرسة الرسمية - غرفة رقم 1,237,1,3,236,3,0,3,0,2,14,0,128,153,0,0,0,0,0,0,0,1,0,0,0,1,0,17,0,18,0,0,1,0,2,0,2,30,0,4,17,4,59,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,51,عماطور - المدرسة الرسمية - غرفة رقم 2,209,5,7,204,0,0,1,0,0,10,3,101,122,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,1,0,1,1,0,23,0,7,19,10,64,0,0,0,1,0,0,1,0,1,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,52,عماطور - المدرسة الرسمية - غرفة رقم 3,287,6,4,281,0,0,2,1,2,22,0,139,172,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,9,0,0,1,0,1,0,1,29,0,8,35,13,91,0,0,0,0,0,0,0,2,0,0,1,3
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,53,عماطور - المدرسة الرسمية - غرفة رقم 4,269,5,2,264,0,0,1,0,0,15,4,142,168,0,0,1,0,0,0,0,1,0,0,0,0,0,17,0,17,0,0,1,0,1,0,0,26,0,9,33,6,74,0,1,0,0,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,54,عماطور - المدرسة الرسمية - غرفة رقم 5,208,7,1,201,4,0,0,0,1,6,15,38,69,0,0,0,0,0,0,0,0,0,0,0,27,28,8,4,67,0,0,0,2,3,3,0,17,0,7,30,3,61,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,55,عين الاسد والشميس - صالة الكنيسة - غرفة رقم 1,205,0,0,205,0,5,0,0,0,0,75,0,81,0,0,0,0,0,0,0,0,0,0,0,15,39,0,0,58,0,0,0,0,1,0,0,2,0,0,3,1,6,0,0,0,1,0,56,57,0,0,2,0,2
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,56,عين الحور - المدرسة الرسمية - غرفة رقم 1,226,2,1,224,12,4,2,1,3,0,70,0,96,0,0,0,0,0,0,0,0,1,0,0,22,33,16,9,83,0,0,0,2,2,0,0,1,2,0,20,12,38,0,0,0,0,1,3,4,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,57,عين الحور - المدرسة الرسمية - غرفة رقم 2,225,8,3,217,11,3,3,0,1,0,59,0,80,0,3,0,0,0,0,0,3,1,0,0,29,33,10,6,80,0,0,0,2,2,0,1,5,2,0,27,9,44,0,0,1,0,1,1,3,0,0,1,0,2
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,58,مجدلونا - صالة كنيسة مجدلونا - غرفة رقم 1,115,0,1,115,7,2,0,0,2,3,24,1,39,0,0,0,0,1,0,0,1,0,0,0,11,26,1,0,38,0,0,0,0,1,3,0,1,2,0,19,9,34,0,0,0,0,0,1,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,59,مجدلونا - صالة كنيسة مجدلونا - غرفة رقم 2,137,2,0,135,5,1,0,0,1,3,24,0,34,0,1,0,0,0,0,0,1,0,0,0,11,25,1,1,38,0,0,0,0,1,1,0,1,3,1,49,5,60,0,0,0,0,0,1,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,60,مرستي - المدرسة الرسمية - غرفة رقم 1,347,5,9,342,1,0,0,0,1,12,0,216,238,0,1,0,0,0,0,0,4,0,0,0,0,0,24,2,26,0,2,0,0,2,0,2,11,0,11,10,28,62,0,0,0,0,0,0,0,0,1,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,61,مرستي - المدرسة الرسمية - غرفة رقم 2,420,3,13,417,2,0,4,2,3,10,0,252,282,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,36,0,0,0,0,0,0,1,14,0,20,14,30,85,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,62,"الجمهورية الفرنسية، باريس - دار البلدية- Amiens - القلم رقم 1",6,0,0,6,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,63,"الجمهورية الفرنسية، باريس - دار البلدية- Antony - القلم رقم 1",136,0,2,136,7,2,0,1,1,1,19,2,33,0,1,0,0,0,0,2,3,2,0,1,1,7,4,0,15,0,3,1,3,8,2,4,21,2,0,35,8,73,0,0,0,0,2,0,2,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,64,"الجمهورية الفرنسية، باريس - دار البلدية- Antony  - غرفة رقم 6",40,0,0,40,0,1,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,4,0,1,1,0,2,0,6,5,2,0,12,2,27,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,65,"الجمهورية الفرنسية، باريس - دار البلدية- Bezons  - غرفة رقم 1",41,0,0,41,0,1,0,1,1,0,6,3,12,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,4,0,1,12,5,22,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,66,"الجمهورية الفرنسية، باريس - دار البلدية- Brest - القلم رقم 11",15,0,0,15,1,0,0,1,0,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,1,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
