الدائرة,القضاء,القرية,رقم قلم الاقتراع,مركز قلم الاقتراع,الجنس,الطائفة,من سجل,الى سجل
البقاع ٢,البقاع الغربي,السلطان يعقوب الفوقا,12,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,96
البقاع ٢,البقاع الغربي,السلطان يعقوب الفوقا,13,المدرسة الرسمية غرفة رقم ٢,اناث,سني,1,103
البقاع ٢,البقاع الغربي,السلطان يعقوب الفوقا,14,المدرسة الرسمية غرفة رقم ٣,اناث,سني,104,164
البقاع ٢,البقاع الغربي,السلطان يعقوب الفوقا,14,المدرسة الرسمية غرفة رقم ٣,ذكور,سني,98,165
البقاع ٢,البقاع الغربي,الشبرقية,15,قاعة كنيسة الوحدة والسلام في عميق غرفة رقم ٣,اناث,روم ارثوذكس,1,4
البقاع ٢,البقاع الغربي,الشبرقية,15,قاعة كنيسة الوحدة والسلام في عميق غرفة رقم ٣,ذكور,روم ارثوذكس,1,4
البقاع ٢,البقاع الغربي,الشبرقية,15,قاعة كنيسة الوحدة والسلام في عميق غرفة رقم ٣,ذكور,سني,3,3
البقاع ٢,البقاع الغربي,الشبرقية,15,قاعة كنيسة الوحدة والسلام في عميق غرفة رقم ٣,اناث,ماروني,1,1
البقاع ٢,البقاع الغربي,الشبرقية,15,قاعة كنيسة الوحدة والسلام في عميق غرفة رقم ٣,ذكور,ماروني,1,1
البقاع ٢,البقاع الغربي,الصويري,16,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,37
البقاع ٢,البقاع الغربي,الصويري,17,المدرسة الرسمية غرفة رقم ٢,ذكور,سني,38,63
البقاع ٢,البقاع الغربي,الصويري,18,المدرسة الرسمية غرفة رقم ٣,ذكور,سني,64,131
البقاع ٢,البقاع الغربي,الصويري,19,المدرسة الرسمية غرفة رقم ٤,اناث,سني,1,34
البقاع ٢,البقاع الغربي,الصويري,20,مدرسة المقاصد الاسلامية غرفة رقم ١,اناث,سني,36,63
البقاع ٢,البقاع الغربي,الصويري,21,مدرسة المقاصد الاسلامية غرفة رقم ٢,اناث,سني,64,131
البقاع ٢,البقاع الغربي,الصويري,22,مدرسة المقاصد الاسلامية غرفة رقم ٣,اناث,شيعي,1,12
البقاع ٢,البقاع الغربي,الصويري,22,مدرسة المقاصد الاسلامية غرفة رقم ٣,ذكور,شيعي,1,12
البقاع ٢,البقاع الغربي,القرعون,23,التكميلية الرسمية غرفة رقم ١,ذكور,سني,1,51
البقاع ٢,البقاع الغربي,القرعون,24,التكميلية الرسمية غرفة رقم ٢,ذكور,سني,52,94
البقاع ٢,البقاع الغربي,القرعون,25,التكميلية الرسمية غرفة رقم ٣,ذكور,سني,95,144
البقاع ٢,البقاع الغربي,القرعون,26,التكميلية الرسمية غرفة رقم ٤,ذكور,سني,145,265
البقاع ٢,البقاع الغربي,القرعون,27,التكميلية الرسمية غرفة رقم ٥,ذكور,سني,266,441
البقاع ٢,البقاع الغربي,القرعون,28,التكميلية الرسمية غرفة رقم ٦,ذكور,انجيلي,5,5
البقاع ٢,البقاع الغربي,القرعون,28,التكميلية الرسمية غرفة رقم ٦,ذكور,روم ارثوذكس,1,184
البقاع ٢,البقاع الغربي,القرعون,28,التكميلية الرسمية غرفة رقم ٦,ذكور,روم كاثوليك,1,18
البقاع ٢,البقاع الغربي,القرعون,29,التكميلية الرسمية غرفة رقم ٧,اناث,انجيلي,4,5
البقاع ٢,البقاع الغربي,القرعون,29,التكميلية الرسمية غرفة رقم ٧,اناث,روم ارثوذكس,3,184
البقاع ٢,البقاع الغربي,القرعون,29,التكميلية الرسمية غرفة رقم ٧,اناث,روم كاثوليك,1,17
البقاع ٢,البقاع الغربي,القرعون,29,التكميلية الرسمية غرفة رقم ٧,اناث,ماروني,34,34
البقاع ٢,البقاع الغربي,القرعون,30,الثانوية الرسمية غرفة رقم ١,اناث,سني,1,52
البقاع ٢,البقاع الغربي,القرعون,31,الثانوية الرسمية غرفة رقم ٢,اناث,سني,53,95
البقاع ٢,البقاع الغربي,القرعون,32,الثانوية الرسمية غرفة رقم ٣,اناث,سني,97,144
البقاع ٢,البقاع الغربي,القرعون,33,الثانوية الرسمية غرفة رقم ٤,اناث,سني,145,265
البقاع ٢,البقاع الغربي,القرعون,34,الثانوية الرسمية غرفة رقم ٥,اناث,سني,266,438
البقاع ٢,البقاع الغربي,المرج,35,الثانوية الرسمية غرفة رقم ١,اناث,سني,1,22
البقاع ٢,البقاع الغربي,المرج,36,الثانوية الرسمية غرفة رقم ٢,اناث,سني,23,52
البقاع ٢,البقاع الغربي,المرج,37,الثانوية الرسمية غرفة رقم ٣,اناث,سني,53,94
البقاع ٢,البقاع الغربي,المرج,38,الثانوية الرسمية غرفة رقم ٤,اناث,سني,95,142
البقاع ٢,البقاع الغربي,المرج,39,الثانوية الرسمية غرفة رقم ٥,اناث,سني,143,170
البقاع ٢,البقاع الغربي,المرج,40,الثانوية الرسمية غرفة رقم ٦,اناث,روم كاثوليك,1,8
البقاع ٢,البقاع الغربي,المرج,40,الثانوية الرسمية غرفة رقم ٦,ذكور,روم كاثوليك,1,13
البقاع ٢,البقاع الغربي,المرج,40,الثانوية الرسمية غرفة رقم ٦,اناث,سني,178,218
البقاع ٢,البقاع الغربي,المرج,40,الثانوية الرسمية غرفة رقم ٦,اناث,ماروني,1,21
البقاع ٢,البقاع الغربي,المرج,40,الثانوية الرسمية غرفة رقم ٦,ذكور,ماروني,1,21
البقاع ٢,البقاع الغربي,المرج,41,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,25
البقاع ٢,البقاع الغربي,المرج,42,المدرسة الرسمية غرفة رقم ٢,ذكور,سني,26,59
البقاع ٢,البقاع الغربي,المرج,43,المدرسة الرسمية غرفة رقم ٣,ذكور,سني,60,107
البقاع ٢,البقاع الغربي,المرج,44,المدرسة الرسمية غرفة رقم ٤,ذكور,سني,108,157
البقاع ٢,البقاع الغربي,المرج,45,المدرسة الرسمية غرفة رقم ٥,ذكور,سني,158,218
البقاع ٢,البقاع الغربي,المرج,46,مدرسة الجراحية الرسمية - حي المرج غرفة رقم ١,ذكور,سني,219,324
البقاع ٢,البقاع الغربي,المرج,47,مدرسة الجراحية الرسمية - حي المرج غرفة رقم ٢,اناث,سني,219,324
البقاع ٢,البقاع الغربي,المنارة,48,ثانوية المنارة الرسمية غرفة رقم ١,ذكور,سني,4,56
البقاع ٢,البقاع الغربي,المنارة,49,ثانوية المنارة الرسمية غرفة رقم ٢,ذكور,سني,57,144
البقاع ٢,البقاع الغربي,المنارة,50,ثانوية المنارة الرسمية غرفة رقم ٣,اناث,سني,4,56
البقاع ٢,البقاع الغربي,المنارة,50,ثانوية المنارة الرسمية غرفة رقم ٣,ذكور,شيعي,1,2
البقاع ٢,البقاع الغربي,المنارة,51,ثانوية المنارة الرسمية غرفة رقم ٤,اناث,سني,57,143
البقاع ٢,البقاع الغربي,المنارة,51,ثانوية المنارة الرسمية غرفة رقم ٤,اناث,شيعي,2,2
البقاع ٢,البقاع الغربي,المنصوره,52,المدرسة الرسمية الاولى غرفة رقم ١,ذكور,روم كاثوليك,1,78
البقاع ٢,البقاع الغربي,المنصوره,52,المدرسة الرسمية الاولى غرفة رقم ١,ذكور,ماروني,1,8
البقاع ٢,البقاع الغربي,المنصوره,53,المدرسة الرسمية الاولى غرفة رقم ٢,اناث,روم ارثوذكس,1,14
البقاع ٢,البقاع الغربي,المنصوره,53,المدرسة الرسمية الاولى غرفة رقم ٢,ذكور,روم ارثوذكس,1,15
البقاع ٢,البقاع الغربي,المنصوره,53,المدرسة الرسمية الاولى غرفة رقم ٢,اناث,روم كاثوليك,1,78
البقاع ٢,البقاع الغربي,المنصوره,53,المدرسة الرسمية الاولى غرفة رقم ٢,اناث,ماروني,1,8
البقاع ٢,البقاع الغربي,المنصوره,54,المدرسة الرسمية الاولى غرفة رقم ٣,اناث,سني,1,51
البقاع ٢,البقاع الغربي,المنصوره,54,المدرسة الرسمية الاولى غرفة رقم ٣,ذكور,سني,1,51
البقاع ٢,البقاع الغربي,باب مارع,55,دار البلدية غرفة رقم ١,اناث,روم كاثوليك,1,27
البقاع ٢,البقاع الغربي,باب مارع,55,دار البلدية غرفة رقم ١,ذكور,روم كاثوليك,1,27
البقاع ٢,البقاع الغربي,باب مارع,55,دار البلدية غرفة رقم ١,اناث,سني,1,1
البقاع ٢,البقاع الغربي,باب مارع,55,دار البلدية غرفة رقم ١,ذكور,سني,1,1
البقاع ٢,البقاع الغربي,باب مارع,55,دار البلدية غرفة رقم ١,اناث,ماروني,1,50
البقاع ٢,البقاع الغربي,باب مارع,55,دار البلدية غرفة رقم ١,ذكور,ماروني,1,50
البقاع ٢,البقاع الغربي,بعلول,56,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,73
البقاع ٢,البقاع الغربي,بعلول,57,المدرسة الرسمية غرفة رقم ٢,ذكور,روم كاثوليك,1,1
البقاع ٢,البقاع الغربي,بعلول,57,المدرسة الرسمية غرفة رقم ٢,ذكور,سني,75,203
البقاع ٢,البقاع الغربي,بعلول,58,المدرسة الرسمية غرفة رقم ٣,اناث,سني,1,72
البقاع ٢,البقاع الغربي,بعلول,59,المدرسة الرسمية غرفة رقم ٤,اناث,روم كاثوليك,1,4
البقاع ٢,البقاع الغربي,بعلول,59,المدرسة الرسمية غرفة رقم ٤,اناث,سني,73,203
البقاع ٢,البقاع الغربي,تل ذنوب,60,المدرسة الرسمية في البلدة القديمة غرفة رقم ١,اناث,روم ارثوذكس,1,1
البقاع ٢,البقاع الغربي,تل ذنوب,60,المدرسة الرسمية في البلدة القديمة غرفة رقم ١,اناث,روم كاثوليك,1,19
البقاع ٢,البقاع الغربي,تل ذنوب,60,المدرسة الرسمية في البلدة القديمة غرفة رقم ١,اناث,سني,1,40
البقاع ٢,البقاع الغربي,تل ذنوب,60,المدرسة الرسمية في البلدة القديمة غرفة رقم ١,اناث,ماروني,1,33
البقاع ٢,البقاع الغربي,تل ذنوب,61,قاعة كنيسة مار مارون غرفة رقم ١,ذكور,روم ارثوذكس,1,7
البقاع ٢,البقاع الغربي,تل ذنوب,61,قاعة كنيسة مار مارون غرفة رقم ١,ذكور,روم كاثوليك,1,19
البقاع ٢,البقاع الغربي,تل ذنوب,61,قاعة كنيسة مار مارون غرفة رقم ١,ذكور,سني,1,40
البقاع ٢,البقاع الغربي,تل ذنوب,61,قاعة كنيسة مار مارون غرفة رقم ١,ذكور,ماروني,1,33
البقاع ٢,البقاع الغربي,جب جنين,62,التكميلية الرسمية للصبيان غرفة رقم ١,ذكور,سني,1,45
البقاع ٢,البقاع الغربي,جب جنين,63,التكميلية الرسمية للصبيان غرفة رقم ٢,ذكور,سني,46,87
البقاع ٢,البقاع الغربي,جب جنين,64,التكميلية الرسمية للصبيان غرفة رقم ٣,ذكور,سني,88,143
البقاع ٢,البقاع الغربي,جب جنين,65,التكميلية الرسمية للصبيان غرفة رقم ٤,ذكور,سني,144,290
البقاع ٢,البقاع الغربي,جب جنين,66,التكميلية الرسمية للصبيان غرفة رقم ٥,اناث,سني,1,46
البقاع ٢,البقاع الغربي,جب جنين,67,التكميلية الرسمية للصبيان غرفة رقم ٦,اناث,سني,47,94
البقاع ٢,البقاع الغربي,جب جنين,68,التكميلية الرسمية للصبيان غرفة رقم ٧,اناث,سني,95,144
البقاع ٢,البقاع الغربي,جب جنين,69,التكميلية الرسمية للصبيان غرفة رقم ٨,اناث,سني,145,290
البقاع ٢,البقاع الغربي,جب جنين,70,ثانوية جب جنين الرسمية غرفة رقم ١,ذكور,انجيلي,1,1
البقاع ٢,البقاع الغربي,جب جنين,70,ثانوية جب جنين الرسمية غرفة رقم ١,ذكور,روم ارثوذكس,1,128
البقاع ٢,البقاع الغربي,جب جنين,70,ثانوية جب جنين الرسمية غرفة رقم ١,ذكور,روم كاثوليك,1,17
البقاع ٢,البقاع الغربي,جب جنين,70,ثانوية جب جنين الرسمية غرفة رقم ١,ذكور,سريان كاثوليك,1,2
البقاع ٢,البقاع الغربي,جب جنين,70,ثانوية جب جنين الرسمية غرفة رقم ١,ذكور,شيعي,1,1
البقاع ٢,البقاع الغربي,جب جنين,70,ثانوية جب جنين الرسمية غرفة رقم ١,ذكور,ماروني,1,3
البقاع ٢,البقاع الغربي,جب جنين,71,ثانوية جب جنين الرسمية غرفة رقم ٢,اناث,انجيلي,1,1
البقاع ٢,البقاع الغربي,جب جنين,71,ثانوية جب جنين الرسمية غرفة رقم ٢,اناث,روم ارثوذكس,1,128
البقاع ٢,البقاع الغربي,جب جنين,71,ثانوية جب جنين الرسمية غرفة رقم ٢,اناث,روم كاثوليك,1,17
البقاع ٢,البقاع الغربي,جب جنين,71,ثانوية جب جنين الرسمية غرفة رقم ٢,اناث,سريان كاثوليك,1,2
البقاع ٢,البقاع الغربي,جب جنين,71,ثانوية جب جنين الرسمية غرفة رقم ٢,اناث,شيعي,1,1
البقاع ٢,البقاع الغربي,جب جنين,71,ثانوية جب جنين الرسمية غرفة رقم ٢,اناث,ماروني,1,4
البقاع ٢,البقاع الغربي,جب جنين,72,ثانوية جب جنين الرسمية غرفة رقم ٣,اناث,روم كاثوليك,18,87
البقاع ٢,البقاع الغربي,جب جنين,72,ثانوية جب جنين الرسمية غرفة رقم ٣,ذكور,روم كاثوليك,18,86
البقاع ٢,البقاع الغربي,حوش الحريمه,73,المدرسة الرسمية غرفة رقم ١,ذكور,سني,2,41
البقاع ٢,البقاع الغربي,حوش الحريمه,74,المدرسة الرسمية غرفة رقم ٢,ذكور,سني,42,76
البقاع ٢,البقاع الغربي,حوش الحريمه,75,المدرسة الرسمية غرفة رقم ٣,اناث,سني,1,36
البقاع ٢,البقاع الغربي,حوش الحريمه,76,المدرسة الرسمية غرفة رقم ٤,اناث,سني,37,72
البقاع ٢,البقاع الغربي,حوش الحريمه,77,المدرسة الرسمية غرفة رقم ٥,اناث,سني,73,152
البقاع ٢,البقاع الغربي,حوش الحريمه,77,المدرسة الرسمية غرفة رقم ٥,ذكور,سني,77,148
البقاع ٢,البقاع الغربي,خربة قنافار,78,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ١,ذكور,روم كاثوليك,1,144
البقاع ٢,البقاع الغربي,خربة قنافار,79,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٢,ذكور,ماروني,1,79
البقاع ٢,البقاع الغربي,خربة قنافار,80,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٣,ذكور,انجيلي,1,21
البقاع ٢,البقاع الغربي,خربة قنافار,80,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٣,ذكور,درزي,1,31
البقاع ٢,البقاع الغربي,خربة قنافار,80,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٣,ذكور,روم ارثوذكس,3,29
البقاع ٢,البقاع الغربي,خربة قنافار,80,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٣,ذكور,روم كاثوليك,146,222
البقاع ٢,البقاع الغربي,خربة قنافار,80,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٣,ذكور,ماروني,80,152
البقاع ٢,البقاع الغربي,خربة قنافار,81,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٤,اناث,ماروني,1,91
البقاع ٢,البقاع الغربي,خربة قنافار,82,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٥,اناث,روم كاثوليك,1,147
البقاع ٢,البقاع الغربي,خربة قنافار,83,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٦,اناث,انجيلي,1,21
البقاع ٢,البقاع الغربي,خربة قنافار,83,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٦,اناث,درزي,1,31
البقاع ٢,البقاع الغربي,خربة قنافار,83,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٦,اناث,روم ارثوذكس,3,29
البقاع ٢,البقاع الغربي,خربة قنافار,83,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٦,اناث,روم كاثوليك,152,221
البقاع ٢,البقاع الغربي,خربة قنافار,83,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٦,اناث,سني,2,4
البقاع ٢,البقاع الغربي,خربة قنافار,83,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٦,ذكور,سني,2,4
البقاع ٢,البقاع الغربي,خربة قنافار,83,المدرسة المهنية في خربة قنافار(مبنى البلدية قديما) غرفة رقم ٦,اناث,ماروني,92,152
البقاع ٢,البقاع الغربي,زلايا,84,مبنى البلدية حاليا غرفة رقم ١,اناث,شيعي,4,24
البقاع ٢,البقاع الغربي,زلايا,84,مبنى البلدية حاليا غرفة رقم ١,ذكور,شيعي,4,24
البقاع ٢,البقاع الغربي,سحمر,85,متوسطة سحمر الرسمية انكليزي غرفة رقم ١,اناث,شيعي,1,37
البقاع ٢,البقاع الغربي,سحمر,86,متوسطة سحمر الرسمية انكليزي غرفة رقم ٢,اناث,شيعي,38,72
البقاع ٢,البقاع الغربي,سحمر,87,متوسطة سحمر الرسمية انكليزي غرفة رقم ٣,اناث,شيعي,73,106
البقاع ٢,البقاع الغربي,سحمر,88,متوسطة سحمر الرسمية انكليزي غرفة رقم ٤,اناث,شيعي,114,194
البقاع ٢,البقاع الغربي,سحمر,88,متوسطة سحمر الرسمية انكليزي غرفة رقم ٤,ذكور,شيعي,114,194
البقاع ٢,البقاع الغربي,سحمر,89,متوسطة سحمر الرسمية فرنسي غرفة رقم ١,ذكور,شيعي,1,44
البقاع ٢,البقاع الغربي,سحمر,90,متوسطة سحمر الرسمية فرنسي غرفة رقم ٢,ذكور,شيعي,46,75
البقاع ٢,البقاع الغربي,سحمر,91,متوسطة سحمر الرسمية فرنسي غرفة رقم ٣,ذكور,شيعي,76,113
البقاع ٢,البقاع الغربي,صغبين,92,ثانوية صغبين الرسمية غرفة رقم ١,ذكور,روم كاثوليك,3,96
البقاع ٢,البقاع الغربي,صغبين,93,ثانوية صغبين الرسمية غرفة رقم ٢,ذكور,ماروني,2,112
البقاع ٢,البقاع الغربي,صغبين,94,ثانوية صغبين الرسمية غرفة رقم ٣,ذكور,ماروني,113,345
البقاع ٢,البقاع الغربي,صغبين,95,ثانوية صغبين الرسمية غرفة رقم ٤,اناث,ماروني,1,96
البقاع ٢,البقاع الغربي,صغبين,96,ثانوية صغبين الرسمية غرفة رقم ٥,اناث,ماروني,97,347
البقاع ٢,البقاع الغربي,صغبين,97,ثانوية صغبين الرسمية غرفة رقم ٦,اناث,روم كاثوليك,3,88
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,اناث,ارمن كاثوليك,2,3
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,ذكور,ارمن كاثوليك,2,3
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,اناث,انجيلي,1,10
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,ذكور,انجيلي,1,8
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,اناث,روم ارثوذكس,2,21
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,ذكور,روم ارثوذكس,2,21
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,اناث,روم كاثوليك,91,194
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,ذكور,روم كاثوليك,97,193
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,اناث,سريان ارثوذكس,1,1
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,ذكور,سريان ارثوذكس,1,1
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,اناث,سني,2,7
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,ذكور,سني,3,7
البقاع ٢,البقاع الغربي,صغبين,98,ثانوية صغبين الرسمية غرفة رقم ٧,ذكور,مختلط,1,1
البقاع ٢,البقاع الغربي,عانا,99,المدرسة الرسمية غرفة رقم ١,ذكور,روم ارثوذكس,1,7
البقاع ٢,البقاع الغربي,عانا,99,المدرسة الرسمية غرفة رقم ١,ذكور,روم كاثوليك,2,46
البقاع ٢,البقاع الغربي,عانا,99,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,1
البقاع ٢,البقاع الغربي,عانا,99,المدرسة الرسمية غرفة رقم ١,ذكور,ماروني,2,138
البقاع ٢,البقاع الغربي,عانا,100,المدرسة الرسمية غرفة رقم ٢,اناث,روم ارثوذكس,1,7
البقاع ٢,البقاع الغربي,عانا,100,المدرسة الرسمية غرفة رقم ٢,اناث,روم كاثوليك,2,46
البقاع ٢,البقاع الغربي,عانا,100,المدرسة الرسمية غرفة رقم ٢,اناث,سني,1,1
البقاع ٢,البقاع الغربي,عانا,100,المدرسة الرسمية غرفة رقم ٢,اناث,ماروني,2,138
البقاع ٢,البقاع الغربي,عميق,101,قاعة كنيسة الوحدة والسلام غرفة رقم ١,ذكور,روم ارثوذكس,1,21
البقاع ٢,البقاع الغربي,عميق,101,قاعة كنيسة الوحدة والسلام غرفة رقم ١,ذكور,روم كاثوليك,1,40
البقاع ٢,البقاع الغربي,عميق,101,قاعة كنيسة الوحدة والسلام غرفة رقم ١,ذكور,سريان ارثوذكس,1,1
البقاع ٢,البقاع الغربي,عميق,101,قاعة كنيسة الوحدة والسلام غرفة رقم ١,ذكور,سني,1,29
البقاع ٢,البقاع الغربي,عميق,101,قاعة كنيسة الوحدة والسلام غرفة رقم ١,ذكور,ماروني,1,73
البقاع ٢,البقاع الغربي,عميق,102,قاعة كنيسة الوحدة والسلام غرفة رقم ٢,اناث,روم ارثوذكس,1,21
البقاع ٢,البقاع الغربي,عميق,102,قاعة كنيسة الوحدة والسلام غرفة رقم ٢,اناث,روم كاثوليك,1,40
البقاع ٢,البقاع الغربي,عميق,102,قاعة كنيسة الوحدة والسلام غرفة رقم ٢,اناث,سريان ارثوذكس,1,1
البقاع ٢,البقاع الغربي,عميق,102,قاعة كنيسة الوحدة والسلام غرفة رقم ٢,اناث,سني,1,28
البقاع ٢,البقاع الغربي,عميق,102,قاعة كنيسة الوحدة والسلام غرفة رقم ٢,اناث,ماروني,1,72
البقاع ٢,البقاع الغربي,عيتيت,103,دار البلدية غرفة رقم ١,ذكور,روم كاثوليك,3,213
البقاع ٢,البقاع الغربي,عيتيت,104,دار البلدية غرفة رقم ٢,اناث,روم كاثوليك,1,205
البقاع ٢,البقاع الغربي,عيتيت,105,دار البلدية غرفة رقم ٣,ذكور,انجيلي,1,4
البقاع ٢,البقاع الغربي,عيتيت,105,دار البلدية غرفة رقم ٣,ذكور,روم ارثوذكس,5,20
البقاع ٢,البقاع الغربي,عيتيت,105,دار البلدية غرفة رقم ٣,ذكور,سني,2,10
البقاع ٢,البقاع الغربي,عيتيت,105,دار البلدية غرفة رقم ٣,ذكور,ماروني,1,132
البقاع ٢,البقاع الغربي,عيتيت,106,دار البلدية غرفة رقم ٤,اناث,انجيلي,1,4
البقاع ٢,البقاع الغربي,عيتيت,106,دار البلدية غرفة رقم ٤,اناث,روم ارثوذكس,1,19
البقاع ٢,البقاع الغربي,عيتيت,106,دار البلدية غرفة رقم ٤,اناث,سني,2,12
البقاع ٢,البقاع الغربي,عيتيت,106,دار البلدية غرفة رقم ٤,اناث,ماروني,1,132
